chrom	chrom_num	start	end	cumulative_chr	cumulative_start	cumulative_end	cyto	cyto_full
chr1	1	0	2300000	chrAll	0	2300000	chr1_p36	chr1_p36.33
chr1	1	2300000	5400000	chrAll	2300000	5400000	chr1_p36	chr1_p36.32
chr1	1	5400000	7200000	chrAll	5400000	7200000	chr1_p36	chr1_p36.31
chr1	1	7200000	9200000	chrAll	7200000	9200000	chr1_p36	chr1_p36.23
chr1	1	9200000	12700000	chrAll	9200000	12700000	chr1_p36	chr1_p36.22
chr1	1	12700000	16200000	chrAll	12700000	16200000	chr1_p36	chr1_p36.21
chr1	1	16200000	20400000	chrAll	16200000	20400000	chr1_p36	chr1_p36.13
chr1	1	20400000	23900000	chrAll	20400000	23900000	chr1_p36	chr1_p36.12
chr1	1	23900000	28000000	chrAll	23900000	28000000	chr1_p36	chr1_p36.11
chr1	1	28000000	30200000	chrAll	28000000	30200000	chr1_p35	chr1_p35.3
chr1	1	30200000	32400000	chrAll	30200000	32400000	chr1_p35	chr1_p35.2
chr1	1	32400000	34600000	chrAll	32400000	34600000	chr1_p35	chr1_p35.1
chr1	1	34600000	40100000	chrAll	34600000	40100000	chr1_p34	chr1_p34.3
chr1	1	40100000	44100000	chrAll	40100000	44100000	chr1_p34	chr1_p34.2
chr1	1	44100000	46800000	chrAll	44100000	46800000	chr1_p34	chr1_p34.1
chr1	1	46800000	50700000	chrAll	46800000	50700000	chr1_p33	chr1_p33
chr1	1	50700000	56100000	chrAll	50700000	56100000	chr1_p32	chr1_p32.3
chr1	1	56100000	59000000	chrAll	56100000	59000000	chr1_p32	chr1_p32.2
chr1	1	59000000	61300000	chrAll	59000000	61300000	chr1_p32	chr1_p32.1
chr1	1	61300000	68900000	chrAll	61300000	68900000	chr1_p31	chr1_p31.3
chr1	1	68900000	69700000	chrAll	68900000	69700000	chr1_p31	chr1_p31.2
chr1	1	69700000	84900000	chrAll	69700000	84900000	chr1_p31	chr1_p31.1
chr1	1	84900000	88400000	chrAll	84900000	88400000	chr1_p22	chr1_p22.3
chr1	1	88400000	92000000	chrAll	88400000	92000000	chr1_p22	chr1_p22.2
chr1	1	92000000	94700000	chrAll	92000000	94700000	chr1_p22	chr1_p22.1
chr1	1	94700000	99700000	chrAll	94700000	99700000	chr1_p21	chr1_p21.3
chr1	1	99700000	102200000	chrAll	99700000	102200000	chr1_p21	chr1_p21.2
chr1	1	102200000	107200000	chrAll	102200000	107200000	chr1_p21	chr1_p21.1
chr1	1	107200000	111800000	chrAll	107200000	111800000	chr1_p13	chr1_p13.3
chr1	1	111800000	116100000	chrAll	111800000	116100000	chr1_p13	chr1_p13.2
chr1	1	116100000	117800000	chrAll	116100000	117800000	chr1_p13	chr1_p13.1
chr1	1	117800000	120600000	chrAll	117800000	120600000	chr1_p12	chr1_p12
chr1	1	120600000	121500000	chrAll	120600000	121500000	chr1_p11	chr1_p11.2
chr1	1	121500000	125000000	chrAll	121500000	125000000	chr1_p11	chr1_p11.1
chr1	1	125000000	128900000	chrAll	125000000	128900000	chr1_q11	chr1_q11
chr1	1	128900000	142600000	chrAll	128900000	142600000	chr1_q12	chr1_q12
chr1	1	142600000	147000000	chrAll	142600000	147000000	chr1_q21	chr1_q21.1
chr1	1	147000000	150300000	chrAll	147000000	150300000	chr1_q21	chr1_q21.2
chr1	1	150300000	155000000	chrAll	150300000	155000000	chr1_q21	chr1_q21.3
chr1	1	155000000	156500000	chrAll	155000000	156500000	chr1_q22	chr1_q22
chr1	1	156500000	159100000	chrAll	156500000	159100000	chr1_q23	chr1_q23.1
chr1	1	159100000	160500000	chrAll	159100000	160500000	chr1_q23	chr1_q23.2
chr1	1	160500000	165500000	chrAll	160500000	165500000	chr1_q23	chr1_q23.3
chr1	1	165500000	167200000	chrAll	165500000	167200000	chr1_q24	chr1_q24.1
chr1	1	167200000	170900000	chrAll	167200000	170900000	chr1_q24	chr1_q24.2
chr1	1	170900000	172900000	chrAll	170900000	172900000	chr1_q24	chr1_q24.3
chr1	1	172900000	176000000	chrAll	172900000	176000000	chr1_q25	chr1_q25.1
chr1	1	176000000	180300000	chrAll	176000000	180300000	chr1_q25	chr1_q25.2
chr1	1	180300000	185800000	chrAll	180300000	185800000	chr1_q25	chr1_q25.3
chr1	1	185800000	190800000	chrAll	185800000	190800000	chr1_q31	chr1_q31.1
chr1	1	190800000	193800000	chrAll	190800000	193800000	chr1_q31	chr1_q31.2
chr1	1	193800000	198700000	chrAll	193800000	198700000	chr1_q31	chr1_q31.3
chr1	1	198700000	207200000	chrAll	198700000	207200000	chr1_q32	chr1_q32.1
chr1	1	207200000	211500000	chrAll	207200000	211500000	chr1_q32	chr1_q32.2
chr1	1	211500000	214500000	chrAll	211500000	214500000	chr1_q32	chr1_q32.3
chr1	1	214500000	224100000	chrAll	214500000	224100000	chr1_q41	chr1_q41
chr1	1	224100000	224600000	chrAll	224100000	224600000	chr1_q42	chr1_q42.11
chr1	1	224600000	227000000	chrAll	224600000	227000000	chr1_q42	chr1_q42.12
chr1	1	227000000	230700000	chrAll	227000000	230700000	chr1_q42	chr1_q42.13
chr1	1	230700000	234700000	chrAll	230700000	234700000	chr1_q42	chr1_q42.2
chr1	1	234700000	236600000	chrAll	234700000	236600000	chr1_q42	chr1_q42.3
chr1	1	236600000	243700000	chrAll	236600000	243700000	chr1_q43	chr1_q43
chr1	1	243700000	249250621	chrAll	243700000	249250621	chr1_q44	chr1_q44
chr2	2	0	4400000	chrAll	249250621	253650621	chr2_p25	chr2_p25.3
chr2	2	4400000	7100000	chrAll	253650621	256350621	chr2_p25	chr2_p25.2
chr2	2	7100000	12200000	chrAll	256350621	261450621	chr2_p25	chr2_p25.1
chr2	2	12200000	16700000	chrAll	261450621	265950621	chr2_p24	chr2_p24.3
chr2	2	16700000	19200000	chrAll	265950621	268450621	chr2_p24	chr2_p24.2
chr2	2	19200000	24000000	chrAll	268450621	273250621	chr2_p24	chr2_p24.1
chr2	2	24000000	27900000	chrAll	273250621	277150621	chr2_p23	chr2_p23.3
chr2	2	27900000	30000000	chrAll	277150621	279250621	chr2_p23	chr2_p23.2
chr2	2	30000000	32100000	chrAll	279250621	281350621	chr2_p23	chr2_p23.1
chr2	2	32100000	36600000	chrAll	281350621	285850621	chr2_p22	chr2_p22.3
chr2	2	36600000	38600000	chrAll	285850621	287850621	chr2_p22	chr2_p22.2
chr2	2	38600000	41800000	chrAll	287850621	291050621	chr2_p22	chr2_p22.1
chr2	2	41800000	47800000	chrAll	291050621	297050621	chr2_p21	chr2_p21
chr2	2	47800000	52900000	chrAll	297050621	302150621	chr2_p16	chr2_p16.3
chr2	2	52900000	55000000	chrAll	302150621	304250621	chr2_p16	chr2_p16.2
chr2	2	55000000	61300000	chrAll	304250621	310550621	chr2_p16	chr2_p16.1
chr2	2	61300000	64100000	chrAll	310550621	313350621	chr2_p15	chr2_p15
chr2	2	64100000	68600000	chrAll	313350621	317850621	chr2_p14	chr2_p14
chr2	2	68600000	71500000	chrAll	317850621	320750621	chr2_p13	chr2_p13.3
chr2	2	71500000	73500000	chrAll	320750621	322750621	chr2_p13	chr2_p13.2
chr2	2	73500000	75000000	chrAll	322750621	324250621	chr2_p13	chr2_p13.1
chr2	2	75000000	83300000	chrAll	324250621	332550621	chr2_p12	chr2_p12
chr2	2	83300000	90500000	chrAll	332550621	339750621	chr2_p11	chr2_p11.2
chr2	2	90500000	93300000	chrAll	339750621	342550621	chr2_p11	chr2_p11.1
chr2	2	93300000	96800000	chrAll	342550621	346050621	chr2_q11	chr2_q11.1
chr2	2	96800000	102700000	chrAll	346050621	351950621	chr2_q11	chr2_q11.2
chr2	2	102700000	106000000	chrAll	351950621	355250621	chr2_q12	chr2_q12.1
chr2	2	106000000	107500000	chrAll	355250621	356750621	chr2_q12	chr2_q12.2
chr2	2	107500000	110200000	chrAll	356750621	359450621	chr2_q12	chr2_q12.3
chr2	2	110200000	114400000	chrAll	359450621	363650621	chr2_q13	chr2_q13
chr2	2	114400000	118800000	chrAll	363650621	368050621	chr2_q14	chr2_q14.1
chr2	2	118800000	122400000	chrAll	368050621	371650621	chr2_q14	chr2_q14.2
chr2	2	122400000	129900000	chrAll	371650621	379150621	chr2_q14	chr2_q14.3
chr2	2	129900000	132500000	chrAll	379150621	381750621	chr2_q21	chr2_q21.1
chr2	2	132500000	135100000	chrAll	381750621	384350621	chr2_q21	chr2_q21.2
chr2	2	135100000	136800000	chrAll	384350621	386050621	chr2_q21	chr2_q21.3
chr2	2	136800000	142200000	chrAll	386050621	391450621	chr2_q22	chr2_q22.1
chr2	2	142200000	144100000	chrAll	391450621	393350621	chr2_q22	chr2_q22.2
chr2	2	144100000	148700000	chrAll	393350621	397950621	chr2_q22	chr2_q22.3
chr2	2	148700000	149900000	chrAll	397950621	399150621	chr2_q23	chr2_q23.1
chr2	2	149900000	150500000	chrAll	399150621	399750621	chr2_q23	chr2_q23.2
chr2	2	150500000	154900000	chrAll	399750621	404150621	chr2_q23	chr2_q23.3
chr2	2	154900000	159800000	chrAll	404150621	409050621	chr2_q24	chr2_q24.1
chr2	2	159800000	163700000	chrAll	409050621	412950621	chr2_q24	chr2_q24.2
chr2	2	163700000	169700000	chrAll	412950621	418950621	chr2_q24	chr2_q24.3
chr2	2	169700000	178000000	chrAll	418950621	427250621	chr2_q31	chr2_q31.1
chr2	2	178000000	180600000	chrAll	427250621	429850621	chr2_q31	chr2_q31.2
chr2	2	180600000	183000000	chrAll	429850621	432250621	chr2_q31	chr2_q31.3
chr2	2	183000000	189400000	chrAll	432250621	438650621	chr2_q32	chr2_q32.1
chr2	2	189400000	191900000	chrAll	438650621	441150621	chr2_q32	chr2_q32.2
chr2	2	191900000	197400000	chrAll	441150621	446650621	chr2_q32	chr2_q32.3
chr2	2	197400000	203300000	chrAll	446650621	452550621	chr2_q33	chr2_q33.1
chr2	2	203300000	204900000	chrAll	452550621	454150621	chr2_q33	chr2_q33.2
chr2	2	204900000	209000000	chrAll	454150621	458250621	chr2_q33	chr2_q33.3
chr2	2	209000000	215300000	chrAll	458250621	464550621	chr2_q34	chr2_q34
chr2	2	215300000	221500000	chrAll	464550621	470750621	chr2_q35	chr2_q35
chr2	2	221500000	225200000	chrAll	470750621	474450621	chr2_q36	chr2_q36.1
chr2	2	225200000	226100000	chrAll	474450621	475350621	chr2_q36	chr2_q36.2
chr2	2	226100000	231000000	chrAll	475350621	480250621	chr2_q36	chr2_q36.3
chr2	2	231000000	235600000	chrAll	480250621	484850621	chr2_q37	chr2_q37.1
chr2	2	235600000	237300000	chrAll	484850621	486550621	chr2_q37	chr2_q37.2
chr2	2	237300000	243199373	chrAll	486550621	492449994	chr2_q37	chr2_q37.3
chr3	3	0	2800000	chrAll	492449994	495249994	chr3_p26	chr3_p26.3
chr3	3	2800000	4000000	chrAll	495249994	496449994	chr3_p26	chr3_p26.2
chr3	3	4000000	8700000	chrAll	496449994	501149994	chr3_p26	chr3_p26.1
chr3	3	8700000	11800000	chrAll	501149994	504249994	chr3_p25	chr3_p25.3
chr3	3	11800000	13300000	chrAll	504249994	505749994	chr3_p25	chr3_p25.2
chr3	3	13300000	16400000	chrAll	505749994	508849994	chr3_p25	chr3_p25.1
chr3	3	16400000	23900000	chrAll	508849994	516349994	chr3_p24	chr3_p24.3
chr3	3	23900000	26400000	chrAll	516349994	518849994	chr3_p24	chr3_p24.2
chr3	3	26400000	30900000	chrAll	518849994	523349994	chr3_p24	chr3_p24.1
chr3	3	30900000	32100000	chrAll	523349994	524549994	chr3_p23	chr3_p23
chr3	3	32100000	36500000	chrAll	524549994	528949994	chr3_p22	chr3_p22.3
chr3	3	36500000	39400000	chrAll	528949994	531849994	chr3_p22	chr3_p22.2
chr3	3	39400000	43700000	chrAll	531849994	536149994	chr3_p22	chr3_p22.1
chr3	3	43700000	44100000	chrAll	536149994	536549994	chr3_p21	chr3_p21.33
chr3	3	44100000	44200000	chrAll	536549994	536649994	chr3_p21	chr3_p21.32
chr3	3	44200000	50600000	chrAll	536649994	543049994	chr3_p21	chr3_p21.31
chr3	3	50600000	52300000	chrAll	543049994	544749994	chr3_p21	chr3_p21.2
chr3	3	52300000	54400000	chrAll	544749994	546849994	chr3_p21	chr3_p21.1
chr3	3	54400000	58600000	chrAll	546849994	551049994	chr3_p14	chr3_p14.3
chr3	3	58600000	63700000	chrAll	551049994	556149994	chr3_p14	chr3_p14.2
chr3	3	63700000	69800000	chrAll	556149994	562249994	chr3_p14	chr3_p14.1
chr3	3	69800000	74200000	chrAll	562249994	566649994	chr3_p13	chr3_p13
chr3	3	74200000	79800000	chrAll	566649994	572249994	chr3_p12	chr3_p12.3
chr3	3	79800000	83500000	chrAll	572249994	575949994	chr3_p12	chr3_p12.2
chr3	3	83500000	87200000	chrAll	575949994	579649994	chr3_p12	chr3_p12.1
chr3	3	87200000	87900000	chrAll	579649994	580349994	chr3_p11	chr3_p11.2
chr3	3	87900000	91000000	chrAll	580349994	583449994	chr3_p11	chr3_p11.1
chr3	3	91000000	93900000	chrAll	583449994	586349994	chr3_q11	chr3_q11.1
chr3	3	93900000	98300000	chrAll	586349994	590749994	chr3_q11	chr3_q11.2
chr3	3	98300000	100000000	chrAll	590749994	592449994	chr3_q12	chr3_q12.1
chr3	3	100000000	100900000	chrAll	592449994	593349994	chr3_q12	chr3_q12.2
chr3	3	100900000	102800000	chrAll	593349994	595249994	chr3_q12	chr3_q12.3
chr3	3	102800000	106200000	chrAll	595249994	598649994	chr3_q13	chr3_q13.11
chr3	3	106200000	107900000	chrAll	598649994	600349994	chr3_q13	chr3_q13.12
chr3	3	107900000	111300000	chrAll	600349994	603749994	chr3_q13	chr3_q13.13
chr3	3	111300000	113500000	chrAll	603749994	605949994	chr3_q13	chr3_q13.2
chr3	3	113500000	117300000	chrAll	605949994	609749994	chr3_q13	chr3_q13.31
chr3	3	117300000	119000000	chrAll	609749994	611449994	chr3_q13	chr3_q13.32
chr3	3	119000000	121900000	chrAll	611449994	614349994	chr3_q13	chr3_q13.33
chr3	3	121900000	123800000	chrAll	614349994	616249994	chr3_q21	chr3_q21.1
chr3	3	123800000	125800000	chrAll	616249994	618249994	chr3_q21	chr3_q21.2
chr3	3	125800000	129200000	chrAll	618249994	621649994	chr3_q21	chr3_q21.3
chr3	3	129200000	133700000	chrAll	621649994	626149994	chr3_q22	chr3_q22.1
chr3	3	133700000	135700000	chrAll	626149994	628149994	chr3_q22	chr3_q22.2
chr3	3	135700000	138700000	chrAll	628149994	631149994	chr3_q22	chr3_q22.3
chr3	3	138700000	142800000	chrAll	631149994	635249994	chr3_q23	chr3_q23
chr3	3	142800000	148900000	chrAll	635249994	641349994	chr3_q24	chr3_q24
chr3	3	148900000	152100000	chrAll	641349994	644549994	chr3_q25	chr3_q25.1
chr3	3	152100000	155000000	chrAll	644549994	647449994	chr3_q25	chr3_q25.2
chr3	3	155000000	157000000	chrAll	647449994	649449994	chr3_q25	chr3_q25.31
chr3	3	157000000	159000000	chrAll	649449994	651449994	chr3_q25	chr3_q25.32
chr3	3	159000000	160700000	chrAll	651449994	653149994	chr3_q25	chr3_q25.33
chr3	3	160700000	167600000	chrAll	653149994	660049994	chr3_q26	chr3_q26.1
chr3	3	167600000	170900000	chrAll	660049994	663349994	chr3_q26	chr3_q26.2
chr3	3	170900000	175700000	chrAll	663349994	668149994	chr3_q26	chr3_q26.31
chr3	3	175700000	179000000	chrAll	668149994	671449994	chr3_q26	chr3_q26.32
chr3	3	179000000	182700000	chrAll	671449994	675149994	chr3_q26	chr3_q26.33
chr3	3	182700000	184500000	chrAll	675149994	676949994	chr3_q27	chr3_q27.1
chr3	3	184500000	186000000	chrAll	676949994	678449994	chr3_q27	chr3_q27.2
chr3	3	186000000	187900000	chrAll	678449994	680349994	chr3_q27	chr3_q27.3
chr3	3	187900000	192300000	chrAll	680349994	684749994	chr3_q28	chr3_q28
chr3	3	192300000	198022430	chrAll	684749994	690472424	chr3_q29	chr3_q29
chr4	4	0	4500000	chrAll	690472424	694972424	chr4_p16	chr4_p16.3
